Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
KIN  140F PRAC ATHLET TRAINING: LEVEL 2B         ,12590,"(('F', '8:00 a.m.-9:00 a.m.'),)","('BEL 844',)",Face-to-face,"PHAN, KELVIN",open; reserved,,
N  187S INTEG OF NURSING KNOWLEDGE         ,57480,"(('F', '8:00 a.m.-10:00 a.m.'),)","('NUR 1.118',)",Hybrid or Blended,"BAILEY, TERESA B",open,,
PHM  192V FNDTN INTRPROF COLLAB PRAC IV         ,58900,"(('F', '8:00 a.m.-9:00 a.m.'),)","('PHR 2.110',)",Face-to-face,"YOUNG, VERONICA SMOCZYGEMBA, LETICIA R",open; reserved,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55340,"(('F', '8:00 a.m.-11:00 a.m.'),)","('PMA 8.202',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55345,"(('F', '8:00 a.m.-11:00 a.m.'),)","('PMA 8.206',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55350,"(('F', '8:00 a.m.-11:00 a.m.'),)","('PMA 8.210',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  115L LABORATORY FOR PHY 315         ,55800,"(('F', '8:00 a.m.-11:00 a.m.'),)","('PMA 7.322',)",Face-to-face,"HEINZEN, DANIEL J",open,,
PSY  420M PSYCHGCL METHODS/STATISTICS         ,41170,"(('F', '8:00 a.m.-10:00 a.m.'),)","('RLP 0.106',)",Hybrid or Blended,"CORMACK, LAWRENCE K",open; reserved,Quantitative ReasoningIndependent InquiryWriting,
PSY  420M PSYCHGCL METHODS/STATISTICS         ,41175,"(('F', '8:00 a.m.-10:00 a.m.'),)","('RLP 0.122',)",Hybrid or Blended,"CORMACK, LAWRENCE K",open; reserved,Quantitative ReasoningIndependent InquiryWriting,
PHM  388M PHARMACEUTICS         ,58780,"(('F', '8:30 a.m.-11:30 a.m.'),)","('SZB 1.510',)",Face-to-face,"SMYTH, HUGH DWILLIAMS, ROBERT O III",open; reserved,,
S W  385T ADV INTEG CAPS KNOWL/PRAC-CLIN         ,60310,"(('F', '8:30 a.m.-11:30 a.m.'),)","('SSW 2.116',)",Face-to-face,"ARNOLD, SHEILA C",open,,
ACC  386K 6-DOCTORAL RESEARCH TOPICS         ,02685,"(('F', '9:00 a.m.-12:00 p.m.'),)","('GSB 3.130',)",Face-to-face,"WILLIAMS, BRADEN MERN",open; reserved,,
AET  339 DRAWING FOR DESIGNERS         ,20875,"(('F', '9:00 a.m.-12:00 p.m.'),)","('WIN 1.164',)",Face-to-face,"BUCHANAN, JASON B",open; reserved,,
ANT  391 MEDICAL ANTHROPOLOGY         ,31410,"(('F', '9:00 a.m.-12:00 p.m.'),)","('WCP 5.118',)",Face-to-face,"SONG, XISAI",open,,
ANT  391 ANTHROPOLOGY AND POP CULTURE         ,31420,"(('F', '9:00 a.m.-12:00 p.m.'),)","('WCP 4.120',)",Face-to-face,"KEELER, WARD W",open,,
ARC  342R BODIES AND EMBODIMENTS         ,00840,"(('F', '9:00 a.m.-12:00 p.m.'),)","('SUT 2.110',)",Face-to-face,"NORWOOD, BRYAN E",open; reserved,Cultural Diversity,
ARC  369J CITY ARCHITECTURE         ,00985,"(('F', '9:00 a.m.-10:30 a.m.'), ('F', '10:30 a.m.-12:00 p.m.'))","('GOL 3.120', 'WMB 5.102')",Face-to-face,"KOEHLER, DANIEL",open; reserved,Writing,
ARC  369J CITY ARCHITECTURE         ,00990,"(('F', '9:00 a.m.-10:30 a.m.'), ('F', '10:30 a.m.-12:00 p.m.'))","('GOL 3.120', 'WMB 5.112')",Face-to-face,"KOEHLER, DANIEL",open; reserved,Writing,
ARC  369J CITY ARCHITECTURE         ,00995,"(('F', '9:00 a.m.-10:30 a.m.'), ('F', '10:30 a.m.-12:00 p.m.'))","('GOL 3.120', 'WMB 5.114')",Face-to-face,"KOEHLER, DANIEL",open; reserved,Writing,
ARC  385T INTEGRATED CONSERV PRACTICUM I         ,01055,"(('F', '9:00 a.m.-12:00 p.m.'),)","('WMB 3.112',)",Face-to-face,"NUCKELS, IZABELLA ZSUZSAN",open; reserved,,
ARC  388R BODIES AND EMBODIMENTS         ,01150,"(('F', '9:00 a.m.-12:00 p.m.'),)","('SUT 2.110',)",Face-to-face,"NORWOOD, BRYAN E",open; reserved,,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49575,"(('F', '9:00 a.m.-1:00 p.m.'), ('F', '9:00 a.m.-1:00 p.m.'))","('WEL 3.134', 'WEL 5.136')",Face-to-face,"LAUDE, DAVID A",open; reserved,Quantitative Reasoning,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49774,"(('F', '9:00 a.m.-1:00 p.m.'), ('F', '9:00 a.m.-1:00 p.m.'))","('WEL 3.134', 'WEL 5.136')",Face-to-face,"LAUDE, DAVID A",open; reserved,,
KIN  395 49-SPORTS NUTRITION         ,12810,"(('F', '9:00 a.m.-12:00 p.m.'),)","('BEL 325',)",Face-to-face,"COYLE, EDWARD F",open,,
LAW  381J NEGOTIATION         ,28135,"(('F', '9:00 a.m.-11:45 a.m.'),)","('JON 5.206',)",Face-to-face,"LASS, JONATHAN E",open; reserved,,
LAW  383Q RESTORATIVE JUSTICE         ,28210,"(('F', '9:00 a.m.-6:00 p.m.'),)","('SSW 1.212',)",Face-to-face,"BUSCH-ARMENDARIZ, NOEL B",cancelled,,
LAW  497P INTERNSHIP: LEGISLATIVE         ,28900,"(('F', '9:00 a.m.-10:30 a.m.'),)","('TNH 3.129',)",Face-to-face,"BRADY, HUGH L",cancelled,,
LIN  389S RSCH IN SYNTAX AND SEMANTICS         ,39065,"(('F', '9:00 a.m.-12:00 p.m.'),)","('RLP 4.710',)",Face-to-face,,open,,
N  396T ECOLOG APPROACH TO CHILD HLTH         ,57845,"(('F', '9:00 a.m.-12:00 p.m.'),)","('NUR 4.174',)",Face-to-face,"REW, DONNA L",open,,
