Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
N  325P ADULT HEALTH NURSING I (PRAC)         ,56955,"(('M', '6:30 a.m.-3:15 p.m.'),)","(' ',)",Face-to-face,"HARRIS, WH",open; reserved,Independent Inquiry,
N  325P ADULT HEALTH NURSING I (PRAC)         ,56960,"(('M', '6:30 a.m.-3:15 p.m.'),)","(' ',)",Face-to-face,"LIN, LI-CHEN",open; reserved,Independent Inquiry,
N  325P ADULT HEALTH NURSING I (PRAC)         ,56965,"(('M', '6:30 a.m.-3:15 p.m.'),)","(' ',)",Face-to-face,"NWOKOCHA, ESTHER",open; reserved,Independent Inquiry,
N  355P ADULT HEALTH NURSING II (PRAC)         ,57120,"(('M', '6:30 a.m.-2:00 p.m.'), ('M', '2:00 p.m.-3:30 p.m.'))","(' ', 'NUR 5.150')",Face-to-face,"BLANK, ADAM",open; reserved,Independent Inquiry,
N  355P ADULT HEALTH NURSING II (PRAC)         ,57125,"(('M', '6:30 a.m.-2:00 p.m.'), ('M', '2:00 p.m.-3:30 p.m.'))","(' ', 'NUR 5.165')",Face-to-face,"AYERS, KATIE RENEE",open; reserved,Independent Inquiry,
N  256P PROB IN MENTAL HLTH NUR (PRAC)         ,57155,"(('M', '6:30 a.m.-12:30 p.m.'),)","(' ',)",Face-to-face,"BALLANTINE, MORGAN CLAIRE",open; reserved,,
N  366P NUR CARE CHLD/THEIR FAMS PRAC         ,57230,"(('M', '6:30 a.m.-2:30 p.m.'),)","(' ',)",Face-to-face,,open; reserved,,
N  366P NUR CARE CHLD/THEIR FAMS PRAC         ,57235,"(('M', '6:30 a.m.-2:30 p.m.'),)","(' ',)",Face-to-face,"FLIPPO, JENNIFERHAUNGS, RACHEL R",open; reserved,,
N  277P CLINICAL CARE MANAGEMENT PRAC         ,57330,"(('M', '6:30 a.m.-2:30 p.m.'), ('M', '2:30 p.m.-3:30 p.m.'))","(' ', 'NUR 5.167')",Face-to-face,"BRUNGOT, LARISSA KAY",open; reserved,,
N  277P CLINICAL CARE MANAGEMENT PRAC         ,57335,"(('M', '6:30 a.m.-2:30 p.m.'), ('M', '2:30 p.m.-3:30 p.m.'))","(' ', 'NUR 5.174')",Face-to-face,"BAKER, JENISE L",open; reserved,,
N  489F ADULT-GERON CNS: ACUTE CARE         ,57510,"(('M', '6:30 a.m.-3:00 p.m.'), ('T', '1:00 p.m.-3:00 p.m.'))","(' ', 'NUR 3.170')",Face-to-face,"DELVILLE, CAROL L",open,,
N  489F ADULT-GERON CNS: ACUTE CARE         ,57515,"(('M', '6:30 a.m.-3:00 p.m.'), ('T', '1:00 p.m.-3:00 p.m.'))","(' ', 'NUR 3.172')",Face-to-face,"DELVILLE, CAROL LCOOK-ROUSEY, SHERRI LYN",open,,
N  489F ADULT-GERON CNS: ACUTE CARE         ,57520,"(('M', '6:30 a.m.-3:00 p.m.'), ('T', '1:00 p.m.-3:00 p.m.'))","(' ', 'NUR 3.170')",Face-to-face,"DELVILLE, CAROL L",open; reserved,,
N  290T PERINATAL NURSING PRACTICUM         ,57635,"(('M', '6:30 a.m.-2:30 p.m.'), ('TH', '8:00 a.m.-5:00 p.m.'))","(' ', ' ')",Face-to-face,"SENNET, KIMBERLY F",open,,
N  290T PERINATAL NURSING PRACTICUM         ,57640,"(('M', '6:30 a.m.-2:30 p.m.'), ('TH', '8:00 a.m.-5:00 p.m.'))","(' ', ' ')",Face-to-face,"HENSLEY, JENNIFER GMURPHY, LAURA E",open,,
N  344P PERINATAL NURSING CARE PRACTIC         ,57035,"(('M', '6:45 a.m.-2:45 p.m.'),)","(' ',)",Face-to-face,"ABBYAD, CHRISTINE WHAMILTON-SOLUM, PATRICIAMALTSBERGER, HEATHER LYNN",open,,
N  290R ADULT HEALTH NUR II PRACTICUM         ,57580,"(('M', '6:45 a.m.-2:45 p.m.'),)","(' ',)",Face-to-face,"HALFORD, EDGAR",open,,
N  290R ADULT HEALTH NUR II PRACTICUM         ,57585,"(('M', '6:45 a.m.-2:45 p.m.'),)","(' ',)",Face-to-face,"MENDOZA, ANNA CHRISTINA",open,,
N  290R ADULT HEALTH NUR II PRACTICUM         ,57590,"(('M', '6:45 a.m.-2:45 p.m.'),)","(' ',)",Face-to-face,"WRIGHT, WILLIAM UZZELL",open,,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49465,"(('M', '8:00 a.m.-9:00 a.m.'), ('M', '9:00 a.m.-1:00 p.m.'))","('WEL 2.224', 'WEL 5.130')",Face-to-face,"SOTELO, PAOLA",open,Quantitative Reasoning,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49470,"(('M', '8:00 a.m.-9:00 a.m.'), ('M', '9:00 a.m.-1:00 p.m.'))","('WEL 2.224', 'WEL 5.132')",Face-to-face,"SOTELO, PAOLA",open,Quantitative Reasoning,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49475,"(('M', '8:00 a.m.-9:00 a.m.'), ('M', '9:00 a.m.-1:00 p.m.'))","('WEL 2.224', 'WEL 5.134')",Face-to-face,"SOTELO, PAOLA",open,Quantitative Reasoning,
