Class Name,Unique,Day,Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
LAW  384N SECURITIES REGULATION         ,28235,MTW,8:00 a.m.-9:00 a.m.,TNH 2.123,Face-to-face,"HU, HENRY T C",open; reserved,,
LAW  480G CONSTITUTIONAL LAW I         ,27970,MTW,9:00 a.m.-10:15 a.m.,TNH 2.139,Face-to-face,"GROVE, TARA",open; reserved,,
LAW  480U PROPERTY         ,28075,MTW,9:00 a.m.-10:15 a.m.,TNH 2.140,Face-to-face,"DZIENKOWSKI, JOHN S",open; reserved,,
LAW  486U PATENT LAW         ,28360,MTW,9:00 a.m.-10:30 a.m.,TNH 3.126,Face-to-face,"GOLDEN, JOHN M",open; reserved,,
LAW  489N WILLS AND ESTATES         ,28415,MTW,9:00 a.m.-10:15 a.m.,TNH 2.124,Face-to-face,"ASCHER, MARK L",open; reserved,,
LAW  496V ANTITRUST POLICY ANALYSIS         ,28645,MTW,9:00 a.m.-10:15 a.m.,TNH 3.129,Face-to-face,"MARKOVITS, RICHARD S",open; reserved,,
P A  488K ANTITRUST POLICY ANALYSIS         ,59654,MTW,9:00 a.m.-10:15 a.m.,TNH 3.129,Face-to-face,"MARKOVITS, RICHARD S",open,,
LAW  480G CONSTITUTIONAL LAW I         ,27965,MTW,10:30 a.m.-11:45 a.m.,TNH 2.140,Face-to-face,"SELLERS, JOSHUA",open; reserved,,
LAW  483 EVIDENCE         ,28180,MTW,10:30 a.m.-11:45 a.m.,TNH 3.142,Face-to-face,"GOODE, STEVEN",open; reserved,,
LAW  391E 2-ENVIRON LAW CLMTE/AIR/WATER         ,28485,MTW,1:00 p.m.-2:00 p.m.,JON 6.206,Face-to-face,"MCGARITY, THOMAS O",open; reserved,,
LAW  492C BUSINESS ASSOCIATIONS         ,28510,MTW,1:00 p.m.-2:15 p.m.,TNH 2.139,Face-to-face,"GANOR, MIRA",open; reserved,,
LAW  392R BANKRUPTCY         ,28525,MTW,1:00 p.m.-2:00 p.m.,TNH 2.124,Face-to-face,"WESTBROOK, JAY L",open; reserved,,
LAW  480J CRIMINAL LAW I         ,27990,MTW,2:30 p.m.-3:45 p.m.,TNH 2.138,Face-to-face,"GOODE, STEVEN",open; reserved,,
LAW  493Q FEDERAL INCOME TAXATION         ,28539,MTW,2:30 p.m.-3:45 p.m.,TNH 3.127,Face-to-face,,open; reserved,,
