Class Name,Unique,Day,Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
J  339T TRAVEL PODCASTING         ,08795,MTWTH,9:00 a.m.-11:00 a.m.,DMC 3.208,Face-to-face,"QUIGLEY, ROBERT JAMES",open; reserved,,
LAW  480H CONTRACTS         ,27980,MTWTH,9:00 a.m.-10:00 a.m.,TNH 2.137,Face-to-face,"SOKOLOW, DAVID S",open; reserved,,
CZ  507 FIRST-YEAR CZECH II         ,42595,MTWTH,10:00 a.m.-11:00 a.m.,BUR 231,Hybrid or Blended,"HILCHEY, CHRISTIAN",open,,
EDP  383D PRACTICUM: LEVEL ONE         ,11805,MTWTH,10:00 a.m.-12:30 p.m.,SZB 2.414,Face-to-face,"O'BLENESS, JESSICA J",open; reserved,,
RUS  407 FIRST-YEAR RUSSIAN II         ,42785,MTWTH,10:00 a.m.-11:00 a.m.,RLP 0.108,Face-to-face,"RICE, HEATHER R",open,,
LAW  492C BUSINESS ASSOCIATIONS         ,28505,MTWTH,10:30 a.m.-11:30 a.m.,TNH 2.137,Face-to-face,"SOKOLOW, DAVID S",open; reserved,,
CZ  412L SECOND-YEAR CZECH II         ,42600,MTWTH,11:00 a.m.-12:00 p.m.,BUR 231,Face-to-face,"HILCHEY, CHRISTIAN",open,,
UKR  407 FIRST-YEAR UKRAINIAN II-WB         ,42940,MTWTH,11:00 a.m.-12:00 p.m.,,Internet,"LUTSYSHYNA, OKSANA",open,,
C S  429 COMP ORGANIZATN AND ARCH         ,50855,MTWTHF,1:00 p.m.-2:00 p.m.9:00 a.m.-11:00 a.m.,GDC 2.216CBA 4.328,Face-to-face,"CHATTERJEE, SIDDHARTHA",open; reserved,,
C S  429 COMP ORGANIZATN AND ARCH         ,50860,MTWTHF,1:00 p.m.-2:00 p.m.11:00 a.m.-1:00 p.m.,GDC 2.216CBA 4.328,Face-to-face,"CHATTERJEE, SIDDHARTHA",open; reserved,,
C S  429 COMP ORGANIZATN AND ARCH         ,50865,MTWTHF,1:00 p.m.-2:00 p.m.1:00 p.m.-3:00 p.m.,GDC 2.216BUR 220,Face-to-face,"CHATTERJEE, SIDDHARTHA",open; reserved,,
C S  429 COMP ORGANIZATN AND ARCH         ,50884,MTWTHF,1:00 p.m.-2:00 p.m.3:00 p.m.-5:00 p.m.,GDC 2.216CBA 4.328,Face-to-face,"CHATTERJEE, SIDDHARTHA",open; reserved,,
C S  429 COMP ORGANIZATN AND ARCH         ,50870,MTWTHF,2:00 p.m.-3:00 p.m.9:00 a.m.-11:00 a.m.,GDC 2.216SZB 3.814,Face-to-face,"CHATTERJEE, SIDDHARTHA",open; reserved,,
C S  429 COMP ORGANIZATN AND ARCH         ,50875,MTWTHF,2:00 p.m.-3:00 p.m.11:00 a.m.-1:00 p.m.,GDC 2.216GSB 2.122,Face-to-face,"CHATTERJEE, SIDDHARTHA",open; reserved,,
C S  429 COMP ORGANIZATN AND ARCH         ,50880,MTWTHF,2:00 p.m.-3:00 p.m.1:00 p.m.-3:00 p.m.,GDC 2.216GSB 2.122,Face-to-face,"CHATTERJEE, SIDDHARTHA",open; reserved,,
CHE  379 ENRGY TRANSITN SUSTANBL FUTURE         ,15470,MTWTH,3:30 p.m.-5:00 p.m.,CPE 2.222,Face-to-face,"BRENNECKE, JOAN F",open,,
CHE  384T ENRGY TRANSITN SUSTANBL FUTURE         ,15525,MTWTH,3:30 p.m.-5:00 p.m.,CPE 2.222,Face-to-face,"BRENNECKE, JOAN F",open,,
ASE  289 SPACE LAW: INTNL COOP/COMP         ,14250,MTWTHFS,5:45 p.m.-8:30 p.m.9:30 a.m.-5:30 p.m.,TNH 2.140TNH 2.140,Face-to-face,"HOWARD, DIANE",open; reserved,,
LAW  296W SPACE LAW: INTNL COOP/COMP         ,28705,MTWTHFS,5:45 p.m.-8:30 p.m.9:30 a.m.-5:30 p.m.,TNH 2.140TNH 2.140,Face-to-face,"HOWARD, DIANE",open; reserved,,
P A  288L SPACE LAW: INTNL COOP/COMP         ,59660,MTWTHFS,5:45 p.m.-8:30 p.m.9:30 a.m.-5:30 p.m.,TNH 2.140TNH 2.140,Face-to-face,"HOWARD, DIANE",open; reserved,,
