Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
ACC  311 FUNDAMENTALS OF FINANCIAL ACC         ,02235,"(('MW', '8:00 a.m.-9:30 a.m.'),)","('UTC 1.144',)",Face-to-face,"BROWN, TAYLOR S",open; reserved,Quantitative Reasoning,
ACC  312 FUNDAMENTALS OF MANAGERIAL ACC         ,02260,"(('MW', '8:00 a.m.-9:30 a.m.'),)","('UTC 1.104',)",Face-to-face,"SMITH, STEPHEN T",open; reserved,Quantitative Reasoning,
ACC  312H FUNDMNTL MANAGERL ACC: HON         ,02325,"(('MW', '8:00 a.m.-9:30 a.m.'),)","('UTC 1.130',)",Face-to-face,"CHAN, ERIC",open; reserved,Quantitative Reasoning,
ACC  329 MANAGERIAL ACC AND CONTROL         ,02390,"(('MW', '8:00 a.m.-9:30 a.m.'),)","('UTC 4.134',)",Face-to-face,"ZHENG, RONGHUO",open; reserved,,
ACC  358C AUDITING AND ASSURANCE SERVS         ,02425,"(('MW', '8:00 a.m.-9:30 a.m.'),)","('CBA 4.324',)",Face-to-face,"KOWALESKI, ZACH",open; reserved,,
ACC  359 MANAGERIAL/COST ACCOUNTING         ,02445,"(('MW', '8:00 a.m.-9:30 a.m.'),)","('UTC 4.134',)",Face-to-face,"ZHENG, RONGHUO",open; reserved,,
ACC  380K 4-AUDITING & ASSURANCE SERVS         ,02530,"(('MW', '8:00 a.m.-9:30 a.m.'),)","('CBA 4.324',)",Face-to-face,"KOWALESKI, ZACH",open; reserved,,
ACC  387 1-INTRO TO MANAGERIAL ACC         ,02710,"(('MW', '8:00 a.m.-9:30 a.m.'),)","('UTC 4.134',)",Face-to-face,"ZHENG, RONGHUO",open; reserved,,
ADV  377M 9-MEDIA INVESTMENTS-WB         ,07265,"(('MW', '8:00 a.m.-9:30 a.m.'),)","(' ',)",Internet,"ARRINGTON, TRACY L",open; reserved,,
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31120,"(('MW', '8:00 a.m.-9:00 a.m.'), ('M', '9:00 a.m.-10:00 a.m.'))","('BEL 328', 'WCP 4.174')",Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31125,"(('MW', '8:00 a.m.-9:00 a.m.'), ('W', '9:00 a.m.-10:00 a.m.'))","('BEL 328', 'WCP 4.174')",Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31130,"(('MW', '8:00 a.m.-9:00 a.m.'), ('M', '1:00 p.m.-2:00 p.m.'))","('BEL 328', 'WCP 4.174')",Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31135,"(('MW', '8:00 a.m.-9:00 a.m.'), ('F', '12:00 p.m.-1:00 p.m.'))","('BEL 328', 'WCP 4.174')",Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31140,"(('MW', '8:00 a.m.-9:00 a.m.'), ('F', '1:00 p.m.-2:00 p.m.'))","('BEL 328', 'WCP 4.174')",Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31145,"(('MW', '8:00 a.m.-9:00 a.m.'), ('F', '2:00 p.m.-3:00 p.m.'))","('BEL 328', 'WCP 4.174')",Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
