Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
SPN  610D FIRST-YEAR SPANISH II         ,43990,"(('MWF', '4:00 p.m.-5:00 p.m.'),)","('MEZ 2.124',)",Hybrid or Blended,,open,,
SPN  311 INTERMEDIATE SPANISH         ,44065,"(('MWF', '4:00 p.m.-5:00 p.m.'),)","('MEZ B0.302',)",Face-to-face,"THOMAS, ALEXANDER JOHN HE",open,,
SPN  610D FIRST-YEAR SPANISH II         ,43895,"(('MWF', '5:00 p.m.-6:00 p.m.'),)","('MEZ 1.120',)",Hybrid or Blended,,closed,,
SPN  610D FIRST-YEAR SPANISH II         ,43995,"(('MWF', '5:00 p.m.-6:00 p.m.'),)","('MEZ 1.102',)",Hybrid or Blended,,open,,
T D  212P FUNDMNTL PROJ DANCE PERF & REP         ,25685,"(('MWF', '3:30 p.m.-5:30 p.m.'), ('TTH', '3:30 p.m.-5:30 p.m.'))","('WIN 1.172', 'WIN 1.172')",Face-to-face,"GIONFRIDDO, ERICA LYNNMEADOR, RACHEL EVALENTIN-MARTINEZ, JOELMONTEIRO, ANGELICA",open; reserved,,
T D  222P PROJECTS IN DANCE PERF AND REP         ,25820,"(('MWF', '3:30 p.m.-5:30 p.m.'), ('TTH', '3:30 p.m.-5:30 p.m.'))","('RSC 1.104', 'RSC 1.104')",Face-to-face,"MEADOR, RACHEL EGIONFRIDDO, ERICA LYNNVALENTIN-MARTINEZ, JOELMONTEIRO, ANGELICA",open; reserved,,
T D  232Q ADV PROJ IN DNC PERF & REP II         ,25925,"(('MWF', '3:30 p.m.-5:30 p.m.'), ('TTH', '3:30 p.m.-5:30 p.m.'))","('BEL 502A', 'BEL 502A')",Face-to-face,"GIONFRIDDO, ERICA LYNNMONTEIRO, ANGELICAVALENTIN-MARTINEZ, JOELMEADOR, RACHEL E",open; reserved,,
B A  324 BUSN COMM: ORAL AND WRITTEN         ,01990,"(('MWF', '4:00 p.m.-5:00 p.m.'),)","('CBA 4.322',)",Face-to-face,"DAVIS, VICTORIA",open,Writing,
ENS  103P BUTLER OPERA CENTER ENSEMBLE         ,21495,"(('MWF', '4:00 p.m.-5:30 p.m.'),)","('MRH 2.106',)",Face-to-face,"SANIKIDZE, TAMARAKINNEY, DOUGLASBRUCE, GARNETT",open; reserved,,
KOR  312L SECOND-YEAR KOREAN II         ,32460,"(('MWF', '4:00 p.m.-5:00 p.m.'),)","('MEZ 1.202',)",Face-to-face,"MCCOY-BAE, ALICE KYUNG",open,,
M  408D SEQ/SERIES/MULTIVAR CALC-WB         ,53295,"(('MWF', '4:00 p.m.-5:00 p.m.'), ('TTH', '11:30 a.m.-12:30 p.m.'))","(' ', ' ')",Internet,"STEPP, ELIZABETH F",open,,
M  408D SEQ/SERIES/MULTIVAR CALC-WB         ,53300,"(('MWF', '4:00 p.m.-5:00 p.m.'), ('TTH', '4:30 p.m.-5:30 p.m.'))","(' ', ' ')",Internet,"STEPP, ELIZABETH F",open,,
M  362K PROBABILITY I         ,53860,"(('MWF', '4:00 p.m.-5:00 p.m.'),)","('PMA 5.104',)",Face-to-face,,open,,
MUS  303D FUNDAMENTALS OF MUSIC: GUITAR         ,21975,"(('MWF', '4:00 p.m.-5:00 p.m.'),)","('MRH 4.126',)",Face-to-face,"LADER, JUSTIN",open,,Visual and Performing Arts
PHY  302L GEN PHY TCH CRS: ELEC/LGHT/NUC         ,55099,"(('MWF', '4:00 p.m.-5:00 p.m.'),)","('PAI 4.42',)",Face-to-face,"KRAVITZ, SCOTT",open,,"Natural Science and Technology, Part I"
