Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
N  325P ADULT HEALTH NURSING I (PRAC)         ,56970,"(('T', '6:30 a.m.-3:15 p.m.'),)","(' ',)",Face-to-face,"GLAESER, HALEY MARIE",open; reserved,Independent Inquiry,
N  325P ADULT HEALTH NURSING I (PRAC)         ,56975,"(('T', '6:30 a.m.-3:15 p.m.'),)","(' ',)",Face-to-face,"LIN, LI-CHEN",open; reserved,Independent Inquiry,
N  325P ADULT HEALTH NURSING I (PRAC)         ,56980,"(('T', '6:30 a.m.-3:15 p.m.'),)","(' ',)",Face-to-face,"NWOKOCHA, ESTHER",open; reserved,Independent Inquiry,
N  355P ADULT HEALTH NURSING II (PRAC)         ,57130,"(('T', '6:30 a.m.-2:00 p.m.'), ('T', '2:00 p.m.-3:30 p.m.'))","(' ', 'NUR 5.150')",Face-to-face,"BLANK, ADAM",open; reserved,Independent Inquiry,
N  355P ADULT HEALTH NURSING II (PRAC)         ,57135,"(('T', '6:30 a.m.-2:00 p.m.'), ('T', '2:00 p.m.-3:30 p.m.'))","(' ', 'NUR 5.165')",Face-to-face,"AYERS, KATIE RENEE",open; reserved,Independent Inquiry,
N  256P PROB IN MENTAL HLTH NUR (PRAC)         ,57160,"(('T', '6:30 a.m.-12:30 p.m.'),)","(' ',)",Face-to-face,"WALKER, VERONICA G",open; reserved,,
N  366P NUR CARE CHLD/THEIR FAMS PRAC         ,57240,"(('T', '6:30 a.m.-2:30 p.m.'),)","(' ',)",Face-to-face,"FLIPPO, JENNIFERHAUNGS, RACHEL R",open; reserved,,
N  277P CLINICAL CARE MANAGEMENT PRAC         ,57345,"(('T', '6:30 a.m.-2:30 p.m.'), ('T', '2:30 p.m.-3:30 p.m.'))","(' ', 'NUR 5.154')",Face-to-face,"BAKER, JENISE L",open; reserved,,
N  277P CLINICAL CARE MANAGEMENT PRAC         ,57350,"(('T', '6:30 a.m.-2:30 p.m.'), ('T', '2:30 p.m.-3:30 p.m.'))","(' ', 'NUR 5.167')",Face-to-face,"BRUNGOT, LARISSA KAY",open; reserved,,
N  290H CHILD HEALTH NURSING PRACTICUM         ,57560,"(('T', '6:30 a.m.-2:30 p.m.'), ('TH', '8:00 a.m.-5:00 p.m.'))","(' ', ' ')",Face-to-face,"CHAVEZ, EDUARDO CHESNEED, KATHLEEN MARIE",open,,
N  344P PERINATAL NURSING CARE PRACTIC         ,57040,"(('T', '6:45 a.m.-2:45 p.m.'),)","(' ',)",Face-to-face,"ABBYAD, CHRISTINE WHAMILTON-SOLUM, PATRICIAMALTSBERGER, HEATHER LYNN",open,,
N  290R ADULT HEALTH NUR II PRACTICUM         ,57595,"(('T', '6:45 a.m.-2:45 p.m.'),)","(' ',)",Face-to-face,"COOK-ROUSEY, SHERRI LYN",open,,
N  290R ADULT HEALTH NUR II PRACTICUM         ,57600,"(('T', '6:45 a.m.-2:45 p.m.'),)","(' ',)",Face-to-face,"MENDOZA, ANNA CHRISTINA",open,,
N  290R ADULT HEALTH NUR II PRACTICUM         ,57605,"(('T', '6:45 a.m.-2:45 p.m.'),)","(' ',)",Face-to-face,"WRIGHT, WILLIAM UZZELL",open,,
AED  387D PROG DEV COMMUN-BASED ART EDUC         ,19930,"(('T', '8:00 a.m.-11:00 a.m.'),)","('ART 3.408',)",Face-to-face,"ADEJUMO, CHRISTOPHER O",open; reserved,,
ARC  342R HIST OF ITALIAN ARCHITECTURE         ,00850,"(('T', '8:00 a.m.-11:00 a.m.'),)","('SUT 2.110',)",Face-to-face,"MILOVANOVIC-BERTRAM, S",open; reserved,,
ARC  388R HIST OF ITALIAN ARCHITECTURE         ,01160,"(('T', '8:00 a.m.-11:00 a.m.'),)","('SUT 2.110',)",Face-to-face,"MILOVANOVIC-BERTRAM, S",open; reserved,,
B A  101S PROF DEVLOP & CAREER PLANNING         ,01860,"(('T', '8:00 a.m.-9:30 a.m.'),)","('CAL 100',)",Face-to-face,"SOWELL, ASHA",open; reserved,,
CMS  358C IDENTITY IN RELATIONSHIPS         ,08295,"(('T', '8:00 a.m.-9:30 a.m.'),)","('CMA 3.124',)",Hybrid or Blended,"HOLLAND, MADELEINE REDLIC",open,Cultural Diversity,
D S  235 INTRO TO DECISION SCIENCE         ,04200,"(('T', '8:00 a.m.-10:00 a.m.'),)","('UTC 3.112',)",Face-to-face,"HAMMOND, ROBERT KINCAID",open; reserved,Quantitative Reasoning,
D S  235H INTRO TO DECISION SCIENCE: HON         ,04250,"(('T', '8:00 a.m.-10:00 a.m.'),)","('CBA 4.304',)",Face-to-face,"GAO, RUI",open; reserved,Quantitative Reasoning,
DES  385D STUDIO II         ,21165,"(('T', '8:00 a.m.-11:00 a.m.'),)","('AHG 1.304',)",Face-to-face,,open; reserved,,
EDP  194 COLLAB PRACTICE: HEALTHCARE         ,11880,"(('T', '8:00 a.m.-9:45 a.m.'),)","('HDB 1.202',)",Hybrid or Blended,"GRAY, JANE SDINITTO, DIANA M",open; reserved,,
HED  627L FIELDWORK IN HEALTH PROMOTION         ,12015,"(('T', '8:00 a.m.-9:30 a.m.'),)","('BEL 858',)",Face-to-face,"LATIMER, LARA",open; reserved,Independent Inquiry,
KIN  627F 1-INTERNSHIP IN HEALTH FIT         ,12470,"(('T', '8:00 a.m.-9:30 a.m.'),)","('BEL 858',)",Face-to-face,"WATSON, RACHEL MARIE",open; reserved,Independent Inquiry,
KIN  627F 2-INTERNSHIP IN MEDICAL FIT         ,12475,"(('T', '8:00 a.m.-9:30 a.m.'),)","('BEL 858',)",Face-to-face,"WATSON, RACHEL MARIE",open; reserved,Independent Inquiry,
MIS  382N BA PRACTICE: CAPSTONE PROJECT         ,04620,"(('T', '8:00 a.m.-11:00 a.m.'),)","('GSB 3.106',)",Face-to-face,"HAMMOND, ROBERT KINCAIDMITCHELL, DANIEL A",open,,
MIS  382N BA PRACTICE: CAPSTONE PROJECT         ,04625,"(('T', '8:00 a.m.-11:00 a.m.'),)","('GSB 3.106',)",Face-to-face,"HAMMOND, ROBERT KINCAIDMITCHELL, DANIEL A",open,,
N  256P PROB IN MENTAL HLTH NUR (PRAC)         ,57170,"(('T', '8:00 a.m.-2:00 p.m.'),)","(' ',)",Face-to-face,"BANNER, MATTHEW W",open; reserved,,
N  375P PUBLIC HLTH NURSING PRACTICUM         ,57305,"(('T', '8:00 a.m.-3:30 p.m.'), ('TH', '9:00 a.m.-12:00 p.m.'))","(' ', 'NUR 4.150')",Face-to-face,"TODD, ANA TMURRY, NICOLE STREUDING",open; reserved,Writing,
N  375P PUBLIC HLTH NURSING PRACTICUM         ,57310,"(('T', '8:00 a.m.-3:30 p.m.'), ('TH', '9:00 a.m.-12:00 p.m.'))","(' ', 'NUR 4.154')",Face-to-face,"SHERMAN, AMBER NICOLE",open; reserved,Writing,
N  375P PUBLIC HLTH NURSING PRACTICUM         ,57315,"(('T', '8:00 a.m.-3:30 p.m.'), ('TH', '9:00 a.m.-12:00 p.m.'))","(' ', 'NUR 5.150')",Face-to-face,"MURRAY-CHAVEZ, JENNIFER J",open; reserved,Writing,
N  290Q PUBLIC HEALTH NUR PRACTICUM         ,57570,"(('T', '8:00 a.m.-5:00 p.m.'), ('TH', '8:00 a.m.-3:00 p.m.'))","(' ', ' ')",Face-to-face,"GUILLET, NANCY M",open,,
N  290Q PUBLIC HEALTH NUR PRACTICUM         ,57575,"(('T', '8:00 a.m.-5:00 p.m.'), ('TH', '8:00 a.m.-3:00 p.m.'))","(' ', ' ')",Face-to-face,"JOHNSON, KAREN",open,,
O M  235 OPERATIONS MANAGEMENT         ,04830,"(('T', '8:00 a.m.-10:00 a.m.'),)","('UTC 1.132',)",Face-to-face,"BAGCHI, UTTARAYAN",open; reserved,,
O M  235 OPERATIONS MANAGEMENT         ,04835,"(('T', '8:00 a.m.-10:00 a.m.'),)","('UTC 3.104',)",Face-to-face,"HASLER, MICHAEL GRAHAM",open; reserved,,
PHM  084W PHARMD YR 2 ADMIN SESSION II         ,58675,"(('T', '8:00 a.m.-9:00 a.m.'),)","('PHR 3.106',)",Face-to-face,"ACOSTA, WYANZA RENEE",open,,
PHM  187G FDTNS OF PATIENT-CNTRD CARE II         ,58765,"(('T', '8:00 a.m.-9:00 a.m.'),)","('PHR 2.110',)",Face-to-face,"POPE, NATHAN DTEMPLE, HOLLI LKUBES, SARAH ELIZABETHMONGE, MARIA C",open,Writing,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55280,"(('T', '8:00 a.m.-11:00 a.m.'),)","('PMA 8.202',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55285,"(('T', '8:00 a.m.-11:00 a.m.'),)","('PMA 8.206',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55290,"(('T', '8:00 a.m.-11:00 a.m.'),)","('PMA 8.210',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55295,"(('T', '8:00 a.m.-11:00 a.m.'),)","('PMA 8.320',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55570,"(('T', '8:00 a.m.-11:00 a.m.'),)","('PMA 8.208',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55575,"(('T', '8:00 a.m.-11:00 a.m.'),)","('PMA 8.316',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55580,"(('T', '8:00 a.m.-11:00 a.m.'),)","('PMA 8.318',)",Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  116L LABORATORY FOR PHY 316         ,55860,"(('T', '8:00 a.m.-11:00 a.m.'),)","('PMA 7.322',)",Face-to-face,"GENTLE, KENNETH W",open,,
SLH  340P CLNCL OBSRV SPCH LANG PATHO         ,09980,"(('T', '8:00 a.m.-9:30 a.m.'),)","(' ',)",Hybrid or Blended,"CORNEJO, CHELSEA",open; reserved,,
COM  302E INTERDSCPLNRY COMM FOUNDATIONS         ,06465,"(('T', '8:30 a.m.-9:30 a.m.'),)","('CMA 6.170',)",Hybrid or Blended,"CARROLL, ROBERT W",open; reserved,,
DES  294 1-HEALTH SYSTEMS DESIGN         ,21189,"(('T', '8:30 a.m.-12:30 p.m.'),)","('ART 3.410',)",Face-to-face,,open,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52050,"(('T', '8:30 a.m.-12:30 p.m.'),)","('SEA 1.440',)",Face-to-face,"PAULEY, LARA L",open,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52055,"(('T', '8:30 a.m.-12:30 p.m.'),)","('SEA 1.440B',)",Face-to-face,"MORGAN, MAUD TRIST",open,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52060,"(('T', '8:30 a.m.-12:30 p.m.'),)","('SEA 1.440D',)",Face-to-face,"FUNDERBURG, EMILY S",open,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52065,"(('T', '8:30 a.m.-12:30 p.m.'),)","('SEA 1.440D',)",Face-to-face,"JOHNSON, BECCA",cancelled,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52070,"(('T', '8:30 a.m.-12:30 p.m.'),)","('SEA 1.440D',)",Face-to-face,"OZUNA, SARAH DANIELLE",open,,
