Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
N S  000 DRILL         ,40165,"(('TTH', '7:00 a.m.-9:30 a.m.'),)","('RLP 0.126',)",Face-to-face,"YOUNG, ROBERT DANIELLEVINE, JAY",open,,
M S  379K ADVANCED MILITARY SCIENCE V-B         ,40110,"(('TTH', '7:30 a.m.-9:00 a.m.'),)","('RLP 5.410',)",Face-to-face,"JONES, TIMOTHY M",open,,
ACC  311 FUNDAMENTALS OF FINANCIAL ACC         ,02240,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('BUR 224',)",Face-to-face,"FANNIN, DANIEL PAUL CLARK",open; reserved,Quantitative Reasoning,
ACC  312 FUNDAMENTALS OF MANAGERIAL ACC         ,02265,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('UTC 1.104',)",Face-to-face,"KAMAS, J W",open; reserved,Quantitative Reasoning,
ACC  326 FINANCIAL ACC-INTERMEDIATE         ,02350,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('UTC 4.134',)",Face-to-face,"KUBIC, MATTHEW R",open; reserved,,
ACC  327 FINANCIAL STATEMENT ANALYSIS         ,02380,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('GSB 2.120',)",Face-to-face,"ZHAO, WUYANG",open; reserved,Quantitative Reasoning,
ACC  358C AUDITING AND ASSURANCE SERVS         ,02430,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('UTC 1.144',)",Face-to-face,"JOHANNS, JEFFREY L",open,,
ACC  362 AUDITING AND CONTROL         ,02460,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('CBA 4.324',)",Face-to-face,"BRADSHAW, MARK L",open; reserved,,
ACC  380K 4-AUDITING & ASSURANCE SERVS         ,02535,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('UTC 1.144',)",Face-to-face,"JOHANNS, JEFFREY L",open,,
"ACC  383K 1-STDS IN AUDITING, MPA PROG         ",02620,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('CBA 4.332',)",Face-to-face,"SCHMIDT, JAIME JOY",open; reserved,,
ADV  370J INTEGRATED COMMUNICATNS MGMT         ,07025,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('DMC 4.212',)",Face-to-face,"WEBBER, ERIC TAYLOR",open,Writing,
ADV  378 41-ADVERTISING INTELLIGENCE-WB         ,07325,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","(' ',)",Internet,"SCIARRINO, JOANN M",open,,
ADV  378S 9-SPORT CON NEGOTIATION TECHS         ,07355,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('DMC 3.206',)",Face-to-face,"LULLA, JOEL",open,,
ADV  391K ADVERTISING INTELLIGENCE-WB         ,07410,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","(' ',)",Internet,"SCIARRINO, JOANN M",open; reserved,,
ALD  322 INDIVIDUAL DIFFERENCES         ,10310,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('UTC 3.122',)",Face-to-face,"TACKETT, KATHRYN KLINGLER",open,Cultural Diversity,
ARC  311L VISUAL COMMUNICATION II         ,00660,"(('TTH', '8:00 a.m.-8:30 a.m.'), ('TTH', '8:30 a.m.-11:00 a.m.'))","('WMB 5.102', 'WMB 5.112')",Face-to-face,"ROSNER, JOYCENAVASAITYTE, RASA",open; reserved,,
ARC  311L VISUAL COMMUNICATION II         ,00665,"(('TTH', '8:00 a.m.-8:30 a.m.'), ('TTH', '8:30 a.m.-11:00 a.m.'))","('WMB 5.102', 'WMB 5.114')",Face-to-face,"ROSNER, JOYCENAVASAITYTE, RASA",open,,
ARE  465 INTEGRATED DESIGN PROJECT         ,15700,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ECJ 3.106',)",Face-to-face,"KUNTZ, KIRBY A",open; reserved,Independent Inquiry,
ARI  311L VISUAL COMMUNICATION II         ,00360,"(('TTH', '8:00 a.m.-8:30 a.m.'), ('TTH', '8:30 a.m.-11:00 a.m.'))","('WMB 5.102', 'WMB 5.102')",Face-to-face,"ROSNER, JOYCENAVASAITYTE, RASA",open; reserved,,
ART  311C CORE STUDIO: DRAWING         ,20350,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 4.202',)",Face-to-face,,open; reserved,,
ART  311K PAINTING I         ,20360,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 4.210',)",Face-to-face,,open; reserved,,
ART  312C CORE STUDIO: 2D         ,20370,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 3.210',)",Face-to-face,"MEISNER, ZACHARY RICHARD",open; reserved,,
ART  313C CORE STUDIO: 3D         ,20380,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 3.214',)",Face-to-face,"CUNNINGHAM, ERIN MICHAELA",open; reserved,,
ART  313K BEGINNING SCULPTURE         ,20400,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 2.410',)",Face-to-face,"WILLIAMS, JEFF",open; reserved,,
ART  314C CORE STUDIO: TIME/TECH         ,20405,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 1.202',)",Face-to-face,"SPECTOR, HANNAH",open; reserved,,
ART  316V TRNSMEDIA: EXPANDED MEDIA I         ,20430,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 3.202',)",Face-to-face,"LUCAS, KRISTIN",open,,
ART  321K PAINTING II         ,20460,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 4.216',)",Face-to-face,"PEPIN, ALEXANDRE",open; reserved,Independent Inquiry,
ART  346K INTERMEDIATE LIFE DRAWING         ,20545,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 4.220',)",Face-to-face,,open; reserved,Independent Inquiry,
ART  352F PRINT FOR NONMAJORS         ,20585,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 2.210',)",Face-to-face,"BLOOD, AUDREY D",open,,
ART  366K ADVANCED LIFE DRAWING         ,20615,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('ART 4.220',)",Face-to-face,,open; reserved,Independent Inquiry,
ASE  479W AERIAL ROBOTICS         ,14190,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('ASE 2.134',)",Face-to-face,"HUMPHREYS, TODD E",open; reserved,,
ASE  389 AERIAL ROBOTICS         ,14255,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('ASE 2.134',)",Face-to-face,"HUMPHREYS, TODD E",open; reserved,,
ASL  610D AMERICAN SIGN LANGUAGE II: BEG         ,38820,"(('TTH', '8:00 a.m.-11:00 a.m.'),)","('RLP 4.222',)",Face-to-face,"GARDNER, JAMES L",open,Cultural Diversity,
B A  324 BUSN COMM: ORAL AND WRITTEN         ,01895,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('CBA 4.344',)",Face-to-face,"MORRIS, MATTHEW B",open; reserved,Writing,
B A  288T STRATEGIC MANAGEMENT         ,02057,"(('TTH', '8:00 a.m.-10:00 a.m.'),)","('RRH 5.402',)",Face-to-face,"NORTHERN, RODNEY A",open,,
BAX  327 DATA MANAGEMENT         ,04105,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('GSB 5.142A',)",Face-to-face,,open,,
BAX  362 AUDITING AND CONTROL         ,04138,"(('TTH', '8:00 a.m.-9:30 a.m.'),)","('CBA 4.324',)",Face-to-face,"BRADSHAW, MARK L",open,,
