Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
LAW  480V TORTS         ,28090,"(('TWTH', '9:00 a.m.-10:15 a.m.'),)","('TNH 2.138',)",Face-to-face,"WASSERMAN, MELISSA FEENEY",open; reserved,,
LAW  385 PROFESSIONAL RESPONSIBILITY         ,28310,"(('TWTH', '9:00 a.m.-10:00 a.m.'),)","('TNH 3.142',)",Face-to-face,"BAKER, LYNN A",open; reserved,,
LAW  388S SPORTS LAW         ,28405,"(('TWTH', '9:00 a.m.-10:00 a.m.'),)","('TNH 3.124',)",Face-to-face,"POWE, LUCAS A JR",open; reserved,,
LAW  396W FIN ANALYSIS TAX PLN/PLCY         ,28739,"(('TWTH', '10:30 a.m.-11:30 a.m.'),)","('JON 6.206',)",Face-to-face,"JOHNSON, CALVIN H",open; reserved,,
LAW  484H CORPORATE TAX         ,28230,"(('TWTH', '1:00 p.m.-2:15 p.m.'),)","('TNH 3.129',)",Face-to-face,"SPINDLER, JAMES C",open; reserved,,
LAW  486 FEDERAL COURTS         ,28340,"(('TWTH', '1:00 p.m.-2:15 p.m.'),)","('TNH 2.138',)",Face-to-face,"VLADECK, STEPHEN I",open; reserved,,
MKT  382 29-CONSUMER BEHAV DIGITAL WRLD         ,06200,"(('TWTH', '2:00 p.m.-3:30 p.m.'),)","('RRH 3.406',)",Face-to-face,"WARD, ADRIAN F",open; reserved,,
LAW  480V TORTS         ,28085,"(('TWTH', '2:30 p.m.-3:45 p.m.'),)","('TNH 3.142',)",Face-to-face,"WAGNER, WENDY E",open; reserved,,
LAW  189T CYBERSPACE: DIGITAL DOMAIN         ,28430,"(('TWTH', '6:15 p.m.-8:15 p.m.'),)","('TNH 2.137',)",Face-to-face,"MARTIN, CIARAN",cancelled,,
P A  188L CYBERSPACE: DIGITAL DOMAIN         ,59655,"(('TWTH', '6:15 p.m.-8:15 p.m.'),)","('TNH 2.137',)",Face-to-face,"MARTIN, CIARAN",cancelled,,
