Class Name,Unique,Day,Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
B A  101S PROF DEVLOP & CAREER PLANNING         ,01879,TH,8:00 a.m.-9:30 a.m.,GSB 2.124,Face-to-face,"MCKINNEY, BRETT",open; reserved,,
D S  235 INTRO TO DECISION SCIENCE         ,04205,TH,8:00 a.m.-10:00 a.m.,UTC 4.112,Face-to-face,"HAMMOND, ROBERT KINCAID",open; reserved,Quantitative Reasoning,
D S  235H INTRO TO DECISION SCIENCE: HON         ,04255,TH,8:00 a.m.-10:00 a.m.,CBA 4.304,Face-to-face,"CAO, JUNYU",open; reserved,Quantitative Reasoning,
DES  385K VISUAL DSGN STUDIO         ,21170,TH,8:00 a.m.-11:00 a.m.,AHG 1.308,Face-to-face,"ARCENEAUX SUTTON, TASHEKA",open; reserved,,
MIS  382N BA PRACTICE: CAPSTONE PROJECT         ,04615,TH,8:00 a.m.-11:00 a.m.,GSB 3.106,Face-to-face,"HAMMOND, ROBERT KINCAIDMITCHELL, DANIEL A",open,,
O M  235 OPERATIONS MANAGEMENT         ,04840,TH,8:00 a.m.-10:00 a.m.,UTC 1.132,Face-to-face,"ANDERSON, MARY ANN",open,,
O M  235 OPERATIONS MANAGEMENT         ,04845,TH,8:00 a.m.-10:00 a.m.,UTC 3.104,Face-to-face,"HASLER, MICHAEL GRAHAM",open; reserved,,
O M  235 OPERATIONS MANAGEMENT         ,04850,TH,8:00 a.m.-10:00 a.m.,UTC 3.112,Face-to-face,"BAGCHI, UTTARAYAN",open; reserved,,
PHM  191V FNDTN INTRPROF COLLAB PRAC II         ,58855,THF,8:00 a.m.-9:00 a.m.2:00 p.m.-5:00 p.m.,PHR 2.110,Face-to-face,"STEWART, MORGAN PAYNEHILL, LUCAS GRANT",open; reserved,,
PHM  191V FNDTN INTRPROF COLLAB PRAC II         ,58860,THF,8:00 a.m.-9:00 a.m.2:00 p.m.-5:00 p.m.,PHR 2.110,Face-to-face,"STEWART, MORGAN PAYNEHILL, LUCAS GRANT",open,,
PHM  191V FNDTN INTRPROF COLLAB PRAC II         ,58865,THF,8:00 a.m.-9:00 a.m.2:00 p.m.-5:00 p.m.,PHR 2.110,Face-to-face,"STEWART, MORGAN PAYNEHILL, LUCAS GRANT",open,,
PHM  191V FNDTN INTRPROF COLLAB PRAC II         ,58870,THF,8:00 a.m.-9:00 a.m.2:00 p.m.-5:00 p.m.,PHR 2.110,Face-to-face,"STEWART, MORGAN PAYNEHILL, LUCAS GRANT",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55320,TH,8:00 a.m.-11:00 a.m.,PMA 8.202,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55325,TH,8:00 a.m.-11:00 a.m.,PMA 8.206,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55330,TH,8:00 a.m.-11:00 a.m.,PMA 8.210,Face-to-face,"LOVERIDGE, ANDREW J",open,,
