Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
C E  387R 5-GEOTECHNICAL EARTHQUAKE ENGR         ,16230,"(('WF', '10:00 a.m.-12:00 p.m.'),)","('ECJ 3.406',)",Face-to-face,"RATHJE, ELLEN M",open; reserved,,
M E  355K ENGINEERING VIBRATIONS         ,18555,"(('WF', '10:00 a.m.-11:30 a.m.'),)","('ETC 4.150',)",Face-to-face,"WILSON, PRESTON S",open; reserved,,
N  325 ADULT HEALTH NURSING I         ,56950,"(('WF', '10:00 a.m.-11:30 a.m.'),)","('NUR 1.118',)",Face-to-face,"TABKE, ERIKA H",open; reserved,,
J  336J LIFESTYLE JOURNALISM         ,08770,"(('WF', '10:30 a.m.-12:00 p.m.'),)","('DMC 3.210',)",Face-to-face,"COLEMAN, RENITA BETH",open; reserved,Writing,
J  395 74-LIFESTYLE JOURNALISM         ,09025,"(('WF', '10:30 a.m.-12:00 p.m.'),)","('DMC 3.210',)",Face-to-face,"COLEMAN, RENITA BETH",open; reserved,,
LAW  387D ADVOCACY SURVEY         ,28375,"(('WF', '10:30 a.m.-11:45 a.m.'),)","('TNH 3.140',)",Face-to-face,"GONZALEZ, DAVID MLEIN, DAVID P",open; reserved,,
HIS  376G HITLER/NAZISM/WORLD WAR II:HON         ,38275,"(('WF', '11:30 a.m.-1:00 p.m.'),)","('RLP 0.118',)",Face-to-face,"MATYSIK, TRACIE M",open; reserved,EthicsGlobal Cultures,
LAH  351W HITLER/NAZISM/WORLD WAR II         ,30119,"(('WF', '11:30 a.m.-1:00 p.m.'),)","('RLP 0.118',)",Face-to-face,"MATYSIK, TRACIE M",closed,Global CulturesEthics,
LAW  385C JURISPRUDENCE         ,28320,"(('WF', '11:45 a.m.-1:15 p.m.'),)","('JON 6.257',)",Face-to-face,"ENCARNACION, ERIK",cancelled,,
BIO  382K 7-ECOLOGICAL THEORY/MODELING         ,49125,"(('WF', '2:00 p.m.-3:30 p.m.'),)","('PMA 6.112',)",Face-to-face,"FARRIOR, CAROLINE E",open; reserved,,
HIS  350L 59-STALIN'S RUSSIA AT WAR         ,38115,"(('WF', '2:00 p.m.-3:30 p.m.'),)","('RLP 0.108',)",Face-to-face,"WYNN, CHARTERS S",open; reserved,WritingGlobal Cultures,
J  363V VISUAL CAPSTONE         ,08905,"(('WF', '2:30 p.m.-4:00 p.m.'),)","('CMA 4.152',)",Hybrid or Blended,,open; reserved,,
LIN  380M SEMANTICS I         ,39040,"(('WF', '3:00 p.m.-4:30 p.m.'),)","('RLP 4.710',)",Face-to-face,"DEO, ASHWINI S",open,,
I  320J MISINFORMATION/JUSTICE/DESIGN         ,27455,"(('WF', '3:30 p.m.-5:00 p.m.'),)","('PAR 101',)",Face-to-face,"ARIF, AHMER",open; reserved,,
I  320U MISINFORMATION/JUSTICE/DESIGN         ,27480,"(('WF', '3:30 p.m.-5:00 p.m.'),)","('PAR 101',)",Face-to-face,"ARIF, AHMER",open; reserved,,
