Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
ARC  369J CITY ARCHITECTURE         ,00985,"(('F', '9:00 a.m.-10:30 a.m.'), ('F', '10:30 a.m.-12:00 p.m.'))",GOL 3.120WMB 5.102,Face-to-face,"KOEHLER, DANIEL",open; reserved,Writing,
ARC  369J CITY ARCHITECTURE         ,00990,"(('F', '9:00 a.m.-10:30 a.m.'), ('F', '10:30 a.m.-12:00 p.m.'))",GOL 3.120WMB 5.112,Face-to-face,"KOEHLER, DANIEL",open; reserved,Writing,
ARC  369J CITY ARCHITECTURE         ,00995,"(('F', '9:00 a.m.-10:30 a.m.'), ('F', '10:30 a.m.-12:00 p.m.'))",GOL 3.120WMB 5.114,Face-to-face,"KOEHLER, DANIEL",open; reserved,Writing,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49575,"(('F', '9:00 a.m.-1:00 p.m.'), ('F', '9:00 a.m.-1:00 p.m.'))",WEL 3.134WEL 5.136,Face-to-face,"LAUDE, DAVID A",open; reserved,Quantitative Reasoning,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49774,"(('F', '9:00 a.m.-1:00 p.m.'), ('F', '9:00 a.m.-1:00 p.m.'))",WEL 3.134WEL 5.136,Face-to-face,"LAUDE, DAVID A",open; reserved,,
PHM  184V PHARMACY PRACTICE LAB IV         ,58665,"(('F', '9:00 a.m.-10:00 a.m.'), ('M', '1:00 p.m.-4:00 p.m.'))",PHR 2.110PHR 4.212A,Face-to-face,"CASTLEBERRY, ASHLEY NICOLSTALLINGS, AMANDA ROSESTEWART, MORGAN PAYNEWENGER, BRIANLITTEN, KATHRYN PAGETEMPLE, HOLLI L",open,,
PHM  184V PHARMACY PRACTICE LAB IV         ,58670,"(('F', '9:00 a.m.-10:00 a.m.'), ('W', '1:00 p.m.-4:00 p.m.'))",PHR 2.110PHR 4.212A,Face-to-face,"CASTLEBERRY, ASHLEY NICOLSTALLINGS, AMANDA ROSESTEWART, MORGAN PAYNEWENGER, BRIANLITTEN, KATHRYN PAGETEMPLE, HOLLI L",open,,
N  224 HEALTH ASSESSMENT SKILLS         ,56920,"(('F', '9:30 a.m.-10:30 a.m.'), ('F', '8:00 a.m.-9:30 a.m.'))",NUR 4.108NUR 1.108,Face-to-face,"GRIMES, DARLA A",open; reserved,,
N  224 HEALTH ASSESSMENT SKILLS         ,56925,"(('F', '9:30 a.m.-10:30 a.m.'), ('F', '8:00 a.m.-9:30 a.m.'))",NUR 4.118NUR 1.108,Face-to-face,"BALLANTINE, MORGAN CLAIRE",open; reserved,,
N  224 HEALTH ASSESSMENT SKILLS         ,56930,"(('F', '9:30 a.m.-10:30 a.m.'), ('F', '8:00 a.m.-9:30 a.m.'))",NUR 4.120NUR 1.108,Face-to-face,"HOLLAND, AMY E",open; reserved,,
C S  395T PREDICTION MECHANISMS COMP ARC         ,51430,"(('F', '10:00 a.m.-12:00 p.m.'), ('M', '10:00 a.m.-11:00 a.m.'))",GDC 5.516GDC 5.516,Face-to-face,"LIN, CALVIN",open,,
CH  341 LAB TECHS IN INORGANIC CHEM         ,50220,"(('F', '10:00 a.m.-11:00 a.m.'), ('MW', '9:00 a.m.-12:00 p.m.'))",RLP 0.124WEL 5.148,Face-to-face,"ROSE, MICHAEL",open; reserved,,
SOC  389K 6-TRAINING SMNR IN DEMOGRAPHY         ,43385,"(('F', '10:00 a.m.-12:00 p.m.'), ('F', '12:00 p.m.-1:00 p.m.'))",RLP 3.106RLP 1.302E,Face-to-face,"GOOSBY, BRIDGET JEANEEN",open,,
N  224 HEALTH ASSESSMENT SKILLS         ,56935,"(('F', '11:00 a.m.-12:00 p.m.'), ('F', '8:00 a.m.-9:30 a.m.'))",NUR 4.108NUR 1.108,Face-to-face,"GRIMES, DARLA A",open; reserved,,
N  224 HEALTH ASSESSMENT SKILLS         ,56940,"(('F', '11:00 a.m.-12:00 p.m.'), ('F', '8:00 a.m.-9:30 a.m.'))",NUR 4.118NUR 1.108,Face-to-face,"LIN, LI-CHEN",open; reserved,,
N  224 HEALTH ASSESSMENT SKILLS         ,56945,"(('F', '11:00 a.m.-12:00 p.m.'), ('F', '8:00 a.m.-9:30 a.m.'))",NUR 4.120NUR 1.108,Face-to-face,"HOLLAND, AMY E",open; reserved,,
M E  144L DYNAMIC SYSTEMS & CONTROLS LAB         ,18465,"(('F', '12:00 p.m.-1:00 p.m.'), ('M', '9:00 a.m.-11:00 a.m.'))",BUR 116ETC 4.160,Face-to-face,"RAPP, ETHAN",open; reserved,,
M E  144L DYNAMIC SYSTEMS & CONTROLS LAB         ,18470,"(('F', '12:00 p.m.-1:00 p.m.'), ('T', '9:00 a.m.-11:00 a.m.'))",BUR 116ETC 4.160,Face-to-face,"RAPP, ETHAN",open; reserved,,
M E  144L DYNAMIC SYSTEMS & CONTROLS LAB         ,18475,"(('F', '12:00 p.m.-1:00 p.m.'), ('W', '9:00 a.m.-11:00 a.m.'))",BUR 116ETC 4.160,Face-to-face,"RAPP, ETHAN",open; reserved,,
M E  144L DYNAMIC SYSTEMS & CONTROLS LAB         ,18480,"(('F', '12:00 p.m.-1:00 p.m.'), ('M', '1:00 p.m.-3:00 p.m.'))",BUR 116ETC 4.160,Face-to-face,"RAPP, ETHAN",open; reserved,,
M E  144L DYNAMIC SYSTEMS & CONTROLS LAB         ,18485,"(('F', '12:00 p.m.-1:00 p.m.'), ('T', '1:00 p.m.-3:00 p.m.'))",BUR 116ETC 4.160,Face-to-face,"RAPP, ETHAN",open; reserved,,
