Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31120,"(('MW', '8:00 a.m.-9:00 a.m.'), ('M', '9:00 a.m.-10:00 a.m.'))",BEL 328WCP 4.174,Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31125,"(('MW', '8:00 a.m.-9:00 a.m.'), ('W', '9:00 a.m.-10:00 a.m.'))",BEL 328WCP 4.174,Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31130,"(('MW', '8:00 a.m.-9:00 a.m.'), ('M', '1:00 p.m.-2:00 p.m.'))",BEL 328WCP 4.174,Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31135,"(('MW', '8:00 a.m.-9:00 a.m.'), ('F', '12:00 p.m.-1:00 p.m.'))",BEL 328WCP 4.174,Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31140,"(('MW', '8:00 a.m.-9:00 a.m.'), ('F', '1:00 p.m.-2:00 p.m.'))",BEL 328WCP 4.174,Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31145,"(('MW', '8:00 a.m.-9:00 a.m.'), ('F', '2:00 p.m.-3:00 p.m.'))",BEL 328WCP 4.174,Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31150,"(('MW', '8:00 a.m.-9:00 a.m.'), ('T', '3:30 p.m.-4:30 p.m.'))",BEL 328WCP 4.174,Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31155,"(('MW', '8:00 a.m.-9:00 a.m.'), ('TH', '3:30 p.m.-4:30 p.m.'))",BEL 328WCP 4.174,Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
ANT  304 INTRO ARCHAEOL STDS: PREHIST         ,31160,"(('MW', '8:00 a.m.-9:00 a.m.'), ('M', '4:00 p.m.-5:00 p.m.'))",BEL 328WCP 4.174,Face-to-face,,open,Global Cultures,"Natural Science and Technology, Part I"
UTS  306K HANDS-ON SCIENCE II         ,46655,"(('MW', '8:00 a.m.-10:00 a.m.'), ('F', '9:00 a.m.-10:00 a.m.'))",PMA 7.114PMA 7.114,Face-to-face,"DUNN, DENNIS P",open; reserved,,"Natural Science and Technology, Part I"
BIO  344 MOLECULAR BIOLOGY         ,48400,"(('MW', '8:30 a.m.-10:00 a.m.'), ('TH', '12:30 p.m.-1:30 p.m.'))",,Face-to-face,,cancelled,,
BIO  344 MOLECULAR BIOLOGY         ,48405,"(('MW', '8:30 a.m.-10:00 a.m.'), ('TH', '1:30 p.m.-2:30 p.m.'))",,Face-to-face,,cancelled,,
BIO  344 MOLECULAR BIOLOGY         ,48410,"(('MW', '8:30 a.m.-10:00 a.m.'), ('TH', '3:30 p.m.-4:30 p.m.'))",,Face-to-face,,cancelled,,
AHC  325 2-HISTORY OF ROME: THE EMPIRE         ,32770,"(('MW', '9:00 a.m.-10:00 a.m.'), ('TH', '9:00 a.m.-10:00 a.m.'))",RLP 0.128GDC 2.210,Face-to-face,"RIGGSBY, ANDREW M",open,Global Cultures,
AHC  325 2-HISTORY OF ROME: THE EMPIRE         ,32775,"(('MW', '9:00 a.m.-10:00 a.m.'), ('F', '9:00 a.m.-10:00 a.m.'))",RLP 0.128WAG 112,Face-to-face,"RIGGSBY, ANDREW M",open,Global Cultures,
AHC  325 2-HISTORY OF ROME: THE EMPIRE         ,32780,"(('MW', '9:00 a.m.-10:00 a.m.'), ('F', '11:00 a.m.-12:00 p.m.'))",RLP 0.128MEZ 2.118,Face-to-face,"RIGGSBY, ANDREW M",open,Global Cultures,
AHC  325 2-HISTORY OF ROME: THE EMPIRE         ,32785,"(('MW', '9:00 a.m.-10:00 a.m.'), ('TH', '12:00 p.m.-1:00 p.m.'))",RLP 0.128CBA 4.336,Face-to-face,"RIGGSBY, ANDREW M",open,Global Cultures,
ANT  301 BIOLOGICAL ANTHROPOLOGY         ,31040,"(('MW', '9:00 a.m.-10:00 a.m.'), ('F', '8:00 a.m.-10:00 a.m.'))",BEL 328WCP 5.172,Face-to-face,"LEWIS, REBECCA J",open,,"Natural Science and Technology, Part I"
ANT  301 BIOLOGICAL ANTHROPOLOGY         ,31045,"(('MW', '9:00 a.m.-10:00 a.m.'), ('M', '12:00 p.m.-2:00 p.m.'))",BEL 328WCP 5.172,Face-to-face,"LEWIS, REBECCA J",open,,"Natural Science and Technology, Part I"
ANT  301 BIOLOGICAL ANTHROPOLOGY         ,31050,"(('MW', '9:00 a.m.-10:00 a.m.'), ('W', '12:00 p.m.-2:00 p.m.'))",BEL 328WCP 5.172,Face-to-face,"LEWIS, REBECCA J",open,,"Natural Science and Technology, Part I"
ANT  301 BIOLOGICAL ANTHROPOLOGY         ,31055,"(('MW', '9:00 a.m.-10:00 a.m.'), ('F', '12:00 p.m.-2:00 p.m.'))",BEL 328WCP 5.172,Face-to-face,"LEWIS, REBECCA J",open,,"Natural Science and Technology, Part I"
ANT  301 BIOLOGICAL ANTHROPOLOGY         ,31060,"(('MW', '9:00 a.m.-10:00 a.m.'), ('M', '3:00 p.m.-5:00 p.m.'))",BEL 328WCP 5.172,Face-to-face,"LEWIS, REBECCA J",open,,"Natural Science and Technology, Part I"
ANT  301 BIOLOGICAL ANTHROPOLOGY         ,31065,"(('MW', '9:00 a.m.-10:00 a.m.'), ('W', '3:00 p.m.-5:00 p.m.'))",BEL 328WCP 5.172,Face-to-face,"LEWIS, REBECCA J",open,,"Natural Science and Technology, Part I"
ANT  301 BIOLOGICAL ANTHROPOLOGY         ,31070,"(('MW', '9:00 a.m.-10:00 a.m.'), ('F', '3:00 p.m.-5:00 p.m.'))",BEL 328WCP 5.172,Face-to-face,"LEWIS, REBECCA J",open,,"Natural Science and Technology, Part I"
ANT  301 BIOLOGICAL ANTHROPOLOGY         ,31075,"(('MW', '9:00 a.m.-10:00 a.m.'), ('T', '5:00 p.m.-7:00 p.m.'))",BEL 328WCP 5.172,Face-to-face,"LEWIS, REBECCA J",open,,"Natural Science and Technology, Part I"
ANT  301 BIOLOGICAL ANTHROPOLOGY         ,31080,"(('MW', '9:00 a.m.-10:00 a.m.'), ('W', '5:00 p.m.-7:00 p.m.'))",BEL 328WCP 5.172,Face-to-face,"LEWIS, REBECCA J",open,,"Natural Science and Technology, Part I"
ANT  301 BIOLOGICAL ANTHROPOLOGY         ,31085,"(('MW', '9:00 a.m.-10:00 a.m.'), ('TH', '5:00 p.m.-7:00 p.m.'))",BEL 328WCP 5.172,Face-to-face,"LEWIS, REBECCA J",open,,"Natural Science and Technology, Part I"
ARH  302 SURV ANCIENT THRU MEDIEVAL ART         ,20040,"(('MW', '9:00 a.m.-10:00 a.m.'), ('TH', '10:00 a.m.-11:00 a.m.'))",ART 1.110ART 3.432,Face-to-face,"DAVIES, PENELOPE J",open,Global Cultures,Visual and Performing Arts
ARH  302 SURV ANCIENT THRU MEDIEVAL ART         ,20045,"(('MW', '9:00 a.m.-10:00 a.m.'), ('F', '10:00 a.m.-11:00 a.m.'))",ART 1.110ART 3.432,Face-to-face,"DAVIES, PENELOPE J",open,Global Cultures,Visual and Performing Arts
ARH  302 SURV ANCIENT THRU MEDIEVAL ART         ,20050,"(('MW', '9:00 a.m.-10:00 a.m.'), ('TH', '11:00 a.m.-12:00 p.m.'))",ART 1.110ART 3.432,Face-to-face,"DAVIES, PENELOPE J",open,Global Cultures,Visual and Performing Arts
ARH  302 SURV ANCIENT THRU MEDIEVAL ART         ,20055,"(('MW', '9:00 a.m.-10:00 a.m.'), ('F', '11:00 a.m.-12:00 p.m.'))",ART 1.110ART 3.432,Face-to-face,"DAVIES, PENELOPE J",open,Global Cultures,Visual and Performing Arts
ARH  302 SURV ANCIENT THRU MEDIEVAL ART         ,20060,"(('MW', '9:00 a.m.-10:00 a.m.'), ('TH', '12:00 p.m.-1:00 p.m.'))",ART 1.110ART 3.432,Face-to-face,"DAVIES, PENELOPE J",open,Global Cultures,Visual and Performing Arts
ARH  302 SURV ANCIENT THRU MEDIEVAL ART         ,20065,"(('MW', '9:00 a.m.-10:00 a.m.'), ('F', '12:00 p.m.-1:00 p.m.'))",ART 1.110ART 3.432,Face-to-face,"DAVIES, PENELOPE J",open,Global Cultures,Visual and Performing Arts
C S  439 PRINCIPLES OF COMPUTER SYS-C S         ,50995,"(('MW', '9:00 a.m.-11:00 a.m.'), ('F', '9:00 a.m.-11:00 a.m.'))",GDC 1.304CBA 4.344,Hybrid or Blended,"NORMAN, ALISON N",open; reserved,Independent Inquiry,
C S  439 PRINCIPLES OF COMPUTER SYS-C S         ,51000,"(('MW', '9:00 a.m.-11:00 a.m.'), ('F', '11:00 a.m.-1:00 p.m.'))",GDC 1.304CBA 4.334,Hybrid or Blended,"NORMAN, ALISON N",open; reserved,Independent Inquiry,
