Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
N  355P ADULT HEALTH NURSING II (PRAC)         ,57130,"(('T', '6:30 a.m.-2:00 p.m.'), ('T', '2:00 p.m.-3:30 p.m.'))",NUR 5.150,Face-to-face,"BLANK, ADAM",open; reserved,Independent Inquiry,
N  355P ADULT HEALTH NURSING II (PRAC)         ,57135,"(('T', '6:30 a.m.-2:00 p.m.'), ('T', '2:00 p.m.-3:30 p.m.'))",NUR 5.165,Face-to-face,"AYERS, KATIE RENEE",open; reserved,Independent Inquiry,
N  277P CLINICAL CARE MANAGEMENT PRAC         ,57345,"(('T', '6:30 a.m.-2:30 p.m.'), ('T', '2:30 p.m.-3:30 p.m.'))",NUR 5.154,Face-to-face,"BAKER, JENISE L",open; reserved,,
N  277P CLINICAL CARE MANAGEMENT PRAC         ,57350,"(('T', '6:30 a.m.-2:30 p.m.'), ('T', '2:30 p.m.-3:30 p.m.'))",NUR 5.167,Face-to-face,"BRUNGOT, LARISSA KAY",open; reserved,,
N  290H CHILD HEALTH NURSING PRACTICUM         ,57560,"(('T', '6:30 a.m.-2:30 p.m.'), ('TH', '8:00 a.m.-5:00 p.m.'))",,Face-to-face,"CHAVEZ, EDUARDO CHESNEED, KATHLEEN MARIE",open,,
N  375P PUBLIC HLTH NURSING PRACTICUM         ,57305,"(('T', '8:00 a.m.-3:30 p.m.'), ('TH', '9:00 a.m.-12:00 p.m.'))",NUR 4.150,Face-to-face,"TODD, ANA TMURRY, NICOLE STREUDING",open; reserved,Writing,
N  375P PUBLIC HLTH NURSING PRACTICUM         ,57310,"(('T', '8:00 a.m.-3:30 p.m.'), ('TH', '9:00 a.m.-12:00 p.m.'))",NUR 4.154,Face-to-face,"SHERMAN, AMBER NICOLE",open; reserved,Writing,
N  375P PUBLIC HLTH NURSING PRACTICUM         ,57315,"(('T', '8:00 a.m.-3:30 p.m.'), ('TH', '9:00 a.m.-12:00 p.m.'))",NUR 5.150,Face-to-face,"MURRAY-CHAVEZ, JENNIFER J",open; reserved,Writing,
N  290Q PUBLIC HEALTH NUR PRACTICUM         ,57570,"(('T', '8:00 a.m.-5:00 p.m.'), ('TH', '8:00 a.m.-3:00 p.m.'))",,Face-to-face,"GUILLET, NANCY M",open,,
N  290Q PUBLIC HEALTH NUR PRACTICUM         ,57575,"(('T', '8:00 a.m.-5:00 p.m.'), ('TH', '8:00 a.m.-3:00 p.m.'))",,Face-to-face,"JOHNSON, KAREN",open,,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49505,"(('T', '9:00 a.m.-1:00 p.m.'), ('T', '9:00 a.m.-1:00 p.m.'))",WEL 3.134WEL 5.136,Face-to-face,"LAUDE, DAVID A",open; reserved,Quantitative Reasoning,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49779,"(('T', '9:00 a.m.-1:00 p.m.'), ('T', '9:00 a.m.-1:00 p.m.'))",WEL 3.134WEL 5.136,Face-to-face,"LAUDE, DAVID A",open; reserved,Quantitative Reasoning,
ALD  321 PLAY IN EARLY CHILDHOOD DEVEL         ,10285,"(('T', '9:30 a.m.-11:00 a.m.'), ('TH', '8:00 a.m.-9:30 a.m.'))",SZB 1.510SZB 3.322,Face-to-face,"ADAIR, JENNIFER KEYS",open; reserved,Independent Inquiry,
ALD  321 PLAY IN EARLY CHILDHOOD DEVEL         ,10290,"(('T', '9:30 a.m.-11:00 a.m.'), ('TH', '8:00 a.m.-9:30 a.m.'))",SZB 1.510SZB 4.502,Face-to-face,"ADAIR, JENNIFER KEYS",open; reserved,Independent Inquiry,
ALD  321 PLAY IN EARLY CHILDHOOD DEVEL         ,10295,"(('T', '9:30 a.m.-11:00 a.m.'), ('TH', '9:30 a.m.-11:00 a.m.'))",SZB 1.510SZB 3.322,Face-to-face,"ADAIR, JENNIFER KEYS",open; reserved,Independent Inquiry,
