Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
ARC  311L VISUAL COMMUNICATION II         ,00660,"(('TTH', '8:00 a.m.-8:30 a.m.'), ('TTH', '8:30 a.m.-11:00 a.m.'))",WMB 5.102WMB 5.112,Face-to-face,"ROSNER, JOYCENAVASAITYTE, RASA",open; reserved,,
ARC  311L VISUAL COMMUNICATION II         ,00665,"(('TTH', '8:00 a.m.-8:30 a.m.'), ('TTH', '8:30 a.m.-11:00 a.m.'))",WMB 5.102WMB 5.114,Face-to-face,"ROSNER, JOYCENAVASAITYTE, RASA",open,,
ARI  311L VISUAL COMMUNICATION II         ,00360,"(('TTH', '8:00 a.m.-8:30 a.m.'), ('TTH', '8:30 a.m.-11:00 a.m.'))",WMB 5.102WMB 5.102,Face-to-face,"ROSNER, JOYCENAVASAITYTE, RASA",open; reserved,,
BIO  302D SL/N: ECOLOGY AND EVOLUTION         ,47045,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '9:00 a.m.-10:00 a.m.'))",WEL 3.502GDC 2.210,Face-to-face,"PANERO, JOSE L",open,,"Natural Science and Technology, Part I"
BIO  302D SL/N: ECOLOGY AND EVOLUTION         ,47050,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '10:00 a.m.-11:00 a.m.'))",WEL 3.502JES A215A,Face-to-face,"PANERO, JOSE L",open,,"Natural Science and Technology, Part I"
BIO  302D SL/N: ECOLOGY AND EVOLUTION         ,47055,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '12:00 p.m.-1:00 p.m.'))",WEL 3.502GDC 4.302,Face-to-face,"PANERO, JOSE L",open,,"Natural Science and Technology, Part I"
BIO  302D SL/N: ECOLOGY AND EVOLUTION         ,47060,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '1:00 p.m.-2:00 p.m.'))",WEL 3.502GDC 6.202,Face-to-face,"PANERO, JOSE L",open,,"Natural Science and Technology, Part I"
BIO  365S HUMAN SYSTEMS PHYSIOLOGY         ,48695,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('T', '11:00 a.m.-12:00 p.m.'))",UTC 2.102AJES A218A,Face-to-face,"CHENG, SHAO-YING",open,,"Natural Science and Technology, Part I"
BIO  365S HUMAN SYSTEMS PHYSIOLOGY         ,48700,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('T', '12:30 p.m.-1:30 p.m.'))",UTC 2.102ASZB 2.216,Face-to-face,"CHENG, SHAO-YING",open,,"Natural Science and Technology, Part I"
BIO  365S HUMAN SYSTEMS PHYSIOLOGY         ,48705,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('T', '2:00 p.m.-3:00 p.m.'))",UTC 2.102ACPE 2.218,Face-to-face,"CHENG, SHAO-YING",open,,"Natural Science and Technology, Part I"
BIO  365S HUMAN SYSTEMS PHYSIOLOGY         ,48710,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('T', '3:30 p.m.-4:30 p.m.'))",UTC 2.102ASZB 2.802,Face-to-face,"CHENG, SHAO-YING",open,,"Natural Science and Technology, Part I"
BME  303 INTRODUCTION TO COMPUTING         ,14780,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '10:00 a.m.-12:00 p.m.'))",CMA 2.306EER 1.508,Face-to-face,"YEH, HSIN-CHIH",open,,
BME  303 INTRODUCTION TO COMPUTING         ,14785,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('M', '11:00 a.m.-1:00 p.m.'))",CMA 2.306GDC 6.202,Face-to-face,"YEH, HSIN-CHIH",open; reserved,,
BME  303 INTRODUCTION TO COMPUTING         ,14790,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('M', '2:00 p.m.-4:00 p.m.'))",CMA 2.306CMA 3.114,Face-to-face,"YEH, HSIN-CHIH",open; reserved,,
BME  303 INTRODUCTION TO COMPUTING         ,14795,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('M', '4:00 p.m.-6:00 p.m.'))",CMA 2.306CMA 3.114,Face-to-face,"YEH, HSIN-CHIH",open; reserved,,
BME  303 INTRODUCTION TO COMPUTING         ,14800,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '4:00 p.m.-6:00 p.m.'))",CMA 2.306CMA 3.114,Face-to-face,"YEH, HSIN-CHIH",open; reserved,,
C E  311S PROBABIL/STATS FOR CIVIL ENGRS         ,15840,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '12:00 p.m.-1:00 p.m.'))",ECJ 1.214ECJ 2.218,Face-to-face,"ZHANG, YUNLAN",open; reserved,Quantitative Reasoning,
C E  311S PROBABIL/STATS FOR CIVIL ENGRS         ,15845,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('F', '1:00 p.m.-2:00 p.m.'))",ECJ 1.214ECJ 2.218,Face-to-face,"ZHANG, YUNLAN",open; reserved,Quantitative Reasoning,
C E  311S PROBABIL/STATS FOR CIVIL ENGRS         ,15850,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '2:00 p.m.-3:00 p.m.'))",ECJ 1.214ECJ 2.218,Face-to-face,"ZHANG, YUNLAN",open; reserved,Quantitative Reasoning,
C E  319F ELEMENTARY MECHANICS OF FLUIDS         ,15870,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '8:00 a.m.-10:00 a.m.'))",CPE 2.218ECJ B.112A,Face-to-face,"HODGES, BEN R",open; reserved,,
C E  319F ELEMENTARY MECHANICS OF FLUIDS         ,15875,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('M', '12:00 p.m.-2:00 p.m.'))",CPE 2.218ECJ B.112A,Face-to-face,"HODGES, BEN R",open; reserved,,
C E  319F ELEMENTARY MECHANICS OF FLUIDS         ,15880,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('M', '2:00 p.m.-4:00 p.m.'))",CPE 2.218ECJ B.112A,Face-to-face,"HODGES, BEN R",open; reserved,,
C E  319F ELEMENTARY MECHANICS OF FLUIDS         ,15885,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('M', '4:00 p.m.-6:00 p.m.'))",CPE 2.218ECJ B.112A,Face-to-face,"HODGES, BEN R",open; reserved,,
C E  319F ELEMENTARY MECHANICS OF FLUIDS         ,15890,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('T', '4:00 p.m.-6:00 p.m.'))",CPE 2.218ECJ B.112A,Face-to-face,"HODGES, BEN R",open; reserved,,
ECO  420S MATH MICROECON THRY ADV APP         ,33700,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('F', '8:00 a.m.-9:00 a.m.'))",RLP 1.106RLP 1.106,Face-to-face,"STINCHCOMBE, MAXWELL B",open,,
KIN  219K 3-INTRO TO ATHLETIC TRAINING         ,12305,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('TH', '9:30 a.m.-10:30 a.m.'))",BEL 404ABEL 404A,Face-to-face,"PHAN, KELVIN",open; reserved,,
M E  318M PROGRAM & ENGR COMP METHODS         ,18035,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('M', '2:00 p.m.-3:30 p.m.'))",ETC 2.108ETC 2.140,Face-to-face,"RODRIGUEZ, ADRIAN",open; reserved,,
M E  318M PROGRAM & ENGR COMP METHODS         ,18040,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('M', '3:30 p.m.-5:00 p.m.'))",ETC 2.108ETC 2.140,Face-to-face,"RODRIGUEZ, ADRIAN",open; reserved,,
M E  318M PROGRAM & ENGR COMP METHODS         ,18045,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('M', '5:00 p.m.-6:30 p.m.'))",ETC 2.108ETC 2.140,Face-to-face,"RODRIGUEZ, ADRIAN",open; reserved,,
M E  318M PROGRAM & ENGR COMP METHODS         ,18050,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('M', '6:30 p.m.-8:00 p.m.'))",ETC 2.108ETC 2.140,Face-to-face,"RODRIGUEZ, ADRIAN",open; reserved,,
M E  335 ENGINEERING STATISTICS         ,18225,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '12:00 p.m.-1:00 p.m.'))",ECJ 1.202ETC 2.140,Face-to-face,"IYOOB, ILYAS M",open; reserved,Quantitative Reasoning,
M E  335 ENGINEERING STATISTICS         ,18230,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '1:00 p.m.-2:00 p.m.'))",ECJ 1.202ETC 2.140,Face-to-face,"IYOOB, ILYAS M",open; reserved,Quantitative Reasoning,
M E  335 ENGINEERING STATISTICS         ,18235,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '2:00 p.m.-3:00 p.m.'))",ECJ 1.202ETC 2.140,Face-to-face,"IYOOB, ILYAS M",open; reserved,Quantitative Reasoning,
M E  335 ENGINEERING STATISTICS         ,18240,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '3:00 p.m.-4:00 p.m.'))",ECJ 1.202ETC 2.140,Face-to-face,"IYOOB, ILYAS M",open; reserved,Quantitative Reasoning,
M E  335 ENGINEERING STATISTICS         ,18245,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '4:00 p.m.-5:00 p.m.'))",ECJ 1.202ETC 2.140,Face-to-face,"IYOOB, ILYAS M",open; reserved,Quantitative Reasoning,
M E  335 ENGINEERING STATISTICS         ,18250,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '5:00 p.m.-6:00 p.m.'))",ECJ 1.202ETC 2.140,Face-to-face,"IYOOB, ILYAS M",open; reserved,Quantitative Reasoning,
PHY  303K ENGINEERING PHYSICS I         ,55100,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('T', '6:00 p.m.-7:00 p.m.'))",PAI 2.48PMA 7.114,Face-to-face,,open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  303K ENGINEERING PHYSICS I         ,55105,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('T', '7:00 p.m.-8:00 p.m.'))",PAI 2.48PMA 7.114,Face-to-face,,open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  303K ENGINEERING PHYSICS I         ,55110,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('T', '8:00 p.m.-9:00 p.m.'))",PAI 2.48PMA 7.114,Face-to-face,,open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  303K ENGINEERING PHYSICS I         ,55115,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('T', '9:00 p.m.-10:00 p.m.'))",PAI 2.48PMA 7.114,Face-to-face,,closed,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317L GENERAL PHYSICS II         ,55945,"(('TTH', '8:00 a.m.-9:30 a.m.'), ('W', '8:00 a.m.-9:00 a.m.'))",PAI 4.42PMA 7.116,Face-to-face,,closed,Quantitative Reasoning,"Natural Science and Technology, Part I"
