Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
PHM  191V FNDTN INTRPROF COLLAB PRAC II         ,58855,"(('TH', '8:00 a.m.-9:00 a.m.'), ('F', '2:00 p.m.-5:00 p.m.'))",PHR 2.110,Face-to-face,"STEWART, MORGAN PAYNEHILL, LUCAS GRANT",open; reserved,,
PHM  191V FNDTN INTRPROF COLLAB PRAC II         ,58860,"(('TH', '8:00 a.m.-9:00 a.m.'), ('F', '2:00 p.m.-5:00 p.m.'))",PHR 2.110,Face-to-face,"STEWART, MORGAN PAYNEHILL, LUCAS GRANT",open,,
PHM  191V FNDTN INTRPROF COLLAB PRAC II         ,58865,"(('TH', '8:00 a.m.-9:00 a.m.'), ('F', '2:00 p.m.-5:00 p.m.'))",PHR 2.110,Face-to-face,"STEWART, MORGAN PAYNEHILL, LUCAS GRANT",open,,
PHM  191V FNDTN INTRPROF COLLAB PRAC II         ,58870,"(('TH', '8:00 a.m.-9:00 a.m.'), ('F', '2:00 p.m.-5:00 p.m.'))",PHR 2.110,Face-to-face,"STEWART, MORGAN PAYNEHILL, LUCAS GRANT",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49820,"(('TH', '8:30 a.m.-9:30 a.m.'), ('T', '8:00 a.m.-12:00 p.m.'))",NHB 1.102,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49825,"(('TH', '8:30 a.m.-9:30 a.m.'), ('T', '8:00 a.m.-12:00 p.m.'))",NHB 1.106,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49830,"(('TH', '8:30 a.m.-9:30 a.m.'), ('T', '8:00 a.m.-12:00 p.m.'))",NHB 1.110,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49835,"(('TH', '8:30 a.m.-9:30 a.m.'), ('T', '8:00 a.m.-12:00 p.m.'))",NHB 1.116,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49840,"(('TH', '8:30 a.m.-9:30 a.m.'), ('T', '8:00 a.m.-12:00 p.m.'))",NHB 1.118,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49845,"(('TH', '8:30 a.m.-9:30 a.m.'), ('T', '8:00 a.m.-12:00 p.m.'))",NHB 1.124,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49850,"(('TH', '8:30 a.m.-9:30 a.m.'), ('T', '8:00 a.m.-12:00 p.m.'))",NHB 1.126,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49550,"(('TH', '9:00 a.m.-1:00 p.m.'), ('TH', '9:00 a.m.-1:00 p.m.'))",WEL 3.134WEL 5.136,Face-to-face,"LAUDE, DAVID A",open; reserved,Quantitative Reasoning,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49776,"(('TH', '9:00 a.m.-1:00 p.m.'), ('TH', '9:00 a.m.-1:00 p.m.'))",WEL 3.134WEL 5.136,Face-to-face,"LAUDE, DAVID A",open; reserved,,
LAW  280T PERSUASIVE WRTG AND ADVOCACY         ,28020,"(('TH', '10:30 a.m.-11:45 a.m.'), ('F', '10:30 a.m.-11:45 a.m.'))",TNH 3.142TNH 2.124,Face-to-face,"MASON, LORI R",open; reserved,,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07180,"(('TH', '11:00 a.m.-1:00 p.m.'), ('M', '1:00 p.m.-2:00 p.m.'))",DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07185,"(('TH', '11:00 a.m.-1:00 p.m.'), ('T', '1:00 p.m.-2:00 p.m.'))",DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07190,"(('TH', '11:00 a.m.-1:00 p.m.'), ('W', '1:00 p.m.-2:00 p.m.'))",DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07195,"(('TH', '11:00 a.m.-1:00 p.m.'), ('TH', '1:00 p.m.-2:00 p.m.'))",DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07200,"(('TH', '11:00 a.m.-1:00 p.m.'), ('M', '2:00 p.m.-3:00 p.m.'))",DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07205,"(('TH', '11:00 a.m.-1:00 p.m.'), ('T', '2:00 p.m.-3:00 p.m.'))",DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07210,"(('TH', '11:00 a.m.-1:00 p.m.'), ('W', '2:00 p.m.-3:00 p.m.'))",DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
