Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
PHM  188P PHARMACEUTICS LABORATORY         ,58785,"(('W', '8:00 a.m.-9:00 a.m.'), ('M', '1:00 p.m.-3:30 p.m.'))",PHR 2.110PHR 3.108,Face-to-face,"ZHANG, FENG",open; reserved,,
PHM  188P PHARMACEUTICS LABORATORY         ,58790,"(('W', '8:00 a.m.-9:00 a.m.'), ('W', '1:00 p.m.-3:30 p.m.'))",PHR 2.110PHR 3.108,Face-to-face,"ZHANG, FENG",open; reserved,,
PHM  188P PHARMACEUTICS LABORATORY         ,58795,"(('W', '8:00 a.m.-9:00 a.m.'), ('T', '1:30 p.m.-4:00 p.m.'))",PHR 2.110PHR 3.108,Face-to-face,"ZHANG, FENG",open; reserved,,
PHM  188P PHARMACEUTICS LABORATORY         ,58800,"(('W', '8:00 a.m.-9:00 a.m.'), ('TH', '1:30 p.m.-4:00 p.m.'))",PHR 2.110PHR 3.108,Face-to-face,"ZHANG, FENG",open; reserved,,
PHM  188P PHARMACEUTICS LABORATORY         ,58805,"(('W', '8:00 a.m.-9:00 a.m.'), ('W', '3:30 p.m.-6:00 p.m.'))",PHR 2.110PHR 3.108,Face-to-face,"ZHANG, FENG",open; reserved,,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49530,"(('W', '9:00 a.m.-1:00 p.m.'), ('W', '9:00 a.m.-1:00 p.m.'))",WEL 3.134WEL 5.136,Face-to-face,"LAUDE, DAVID A",open; reserved,Quantitative Reasoning,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49777,"(('W', '9:00 a.m.-1:00 p.m.'), ('W', '9:00 a.m.-1:00 p.m.'))",WEL 3.134WEL 5.136,Face-to-face,"LAUDE, DAVID A",open; reserved,,
N  377 LDRSHP & MGMT OF NURSING CARE         ,57320,"(('W', '9:00 a.m.-12:00 p.m.'), ('F', '9:00 a.m.-12:00 p.m.'))",NUR 1.108NUR 1.112,Face-to-face,"GOLDSTEIN, LEIGH A",open; reserved,,
N  377H LEADRSHP & MGMT NUR CARE: HON         ,57325,"(('W', '9:00 a.m.-12:00 p.m.'), ('F', '9:00 a.m.-12:00 p.m.'))",NUR 1.108NUR 1.112,Face-to-face,"GOLDSTEIN, LEIGH A",open; reserved,,
N  287G PSYCHIATRIC-MENTAL HEALTH NUR         ,57455,"(('W', '9:00 a.m.-11:30 a.m.'), ('F', '10:30 a.m.-12:30 p.m.'))",NUR 5.174NUR 5.174,Face-to-face,"ROBERTS, ELESHA",open,,
N  287H CHILD HEALTH NURSING         ,57465,"(('W', '9:00 a.m.-11:30 a.m.'), ('F', '10:30 a.m.-12:30 p.m.'))",NUR 3.170NUR 3.170,Face-to-face,"CHAVEZ, EDUARDO CHE",open,,
N  287Q PUBLIC HEALTH NURSING         ,57475,"(('W', '9:00 a.m.-11:30 a.m.'), ('F', '10:30 a.m.-12:30 p.m.'))",NUR 1.106,Hybrid or Blended,"HEITKEMPER, ELIZABETH M",open,,
N  287T PERINATAL NURSING         ,57490,"(('W', '9:00 a.m.-11:30 a.m.'), ('F', '10:30 a.m.-12:30 p.m.'))",NUR 5.180NUR 5.180,Face-to-face,"MURPHY, LAURA E",open,,
LAW  497C CLINIC: CAPITAL PUNISHMENT         ,28775,"(('W', '9:45 a.m.-11:45 a.m.'), ('TH', '9:45 a.m.-11:45 a.m.'))",CCJ 3.306TNH 3.116,Face-to-face,"MARCUS, JIMSCHONEMANN, RAOUL D",open; reserved,,
LAW  497C CLINIC: CAPITAL PUNISHMENT         ,28779,"(('W', '9:45 a.m.-11:45 a.m.'), ('T', '9:45 a.m.-11:45 a.m.'))",CCJ 3.306TNH 3.116,Face-to-face,"MARCUS, JIMSCHONEMANN, RAOUL D",open; reserved,,
